MONTH,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,IS_DELAYED,DAY_OF_WEEK,DEP_HOUR,IS_PEAK_HOUR,IS_WEEKEND,ORIGIN_DAILY_FLIGHTS,ROUTE_AVG_DELAY,CARRIER_AVG_DELAY,DELAY_PROBABILITY,flight_idx,gate,delay_probability
1,2023-01-09,DL,ATL,CHS,852,-1.0,1000,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,7.157635467980295,13.207272336365714,0.23595755,57,71,0.23595755
1,2023-01-09,DL,ATL,CHS,1037,-4.0,1150,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,7.157635467980295,13.207272336365714,0.27766764,58,6,0.27766764
1,2023-01-09,DL,ATL,CLE,715,-1.0,859,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,19.05555555555556,13.207272336365714,0.26078346,59,34,0.26078346
1,2023-01-09,DL,ATL,CLE,1005,9.0,1150,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,19.05555555555556,13.207272336365714,0.40222117,60,43,0.40222117
1,2023-01-09,DL,ATL,CLT,715,13.0,837,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,13.841961852861036,13.207272336365714,0.24516441,61,38,0.24516441
1,2023-01-09,DL,ATL,CLT,955,-4.0,1110,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,13.841961852861036,13.207272336365714,0.3576833,62,47,0.3576833
1,2023-01-09,DL,ATL,CMH,815,-2.0,946,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,10.32843137254902,13.207272336365714,0.27653435,63,52,0.27653435
1,2023-01-09,DL,ATL,CVG,832,0.0,955,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,6.958083832335329,13.207272336365714,0.23902759,64,59,0.23902759
1,2023-01-09,DL,ATL,DAB,855,0.0,1017,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,6.442622950819672,13.207272336365714,0.23902759,65,70,0.23902759
1,2023-01-09,DL,ATL,DAL,940,-3.0,1102,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,11.48,13.207272336365714,0.34892333,66,39,0.34892333
1,2023-01-09,DL,ATL,DCA,715,-2.0,900,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,11.72982456140351,13.207272336365714,0.24234693,67,40,0.24234693
1,2023-01-09,DL,ATL,DCA,940,9.0,1119,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,11.72982456140351,13.207272336365714,0.34892333,68,36,0.34892333
1,2023-01-09,DL,ATL,DCA,1110,-1.0,1249,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,11.72982456140351,13.207272336365714,0.4035547,69,40,0.4035547
1,2023-01-09,DL,ATL,DEN,810,-4.0,934,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,17.083516483516483,13.207272336365714,0.35501552,70,30,0.35501552
1,2023-01-09,DL,ATL,DEN,950,-5.0,1115,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,17.083516483516483,13.207272336365714,0.39765942,71,28,0.39765942
1,2023-01-09,DL,ATL,DEN,1131,2.0,1250,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,17.083516483516483,13.207272336365714,0.43706354,72,23,0.43706354
1,2023-01-09,DL,ATL,DFW,715,-3.0,846,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,17.57667386609071,13.207272336365714,0.29069915,73,17,0.29069915
1,2023-01-09,DL,ATL,DFW,920,-1.0,1049,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,17.57667386609071,13.207272336365714,0.3954057,74,11,0.3954057
1,2023-01-09,DL,ATL,DTW,600,9.0,755,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,878,17.63679245283019,13.207272336365714,0.2753283,75,8,0.2753283
1,2023-01-09,DL,ATL,DTW,700,44.0,858,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1,0,7,1,0,878,17.63679245283019,13.207272336365714,0.28789982,76,28,0.28789982
1,2023-01-09,DL,ATL,DTW,905,-2.0,1102,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,17.63679245283019,13.207272336365714,0.3954057,77,20,0.3954057
1,2023-01-09,DL,ATL,DTW,1100,11.0,1300,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,17.63679245283019,13.207272336365714,0.4340515,78,37,0.4340515
1,2023-01-09,DL,ATL,ECP,842,-10.0,853,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,13.795774647887324,13.207272336365714,0.33434924,79,32,0.33434924
1,2023-01-09,DL,ATL,EGE,1115,-3.0,1252,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,7.277777777777778,13.207272336365714,0.3194007,80,43,0.3194007
1,2023-01-09,DL,ATL,ELP,1110,-2.0,1238,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,19.49122807017544,13.207272336365714,0.45011055,81,32,0.45011055
1,2023-01-09,DL,ATL,EWR,725,-1.0,931,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,14.283095723014256,13.207272336365714,0.26892638,82,29,0.26892638
1,2023-01-09,DL,ATL,EWR,904,0.0,1105,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,0,9,1,0,878,14.283095723014256,13.207272336365714,0.37375826,83,23,0.37375826
1,2023-01-09,DL,ATL,EWR,1050,-3.0,1258,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,14.283095723014256,13.207272336365714,0.3996719,84,53,0.3996719
1,2023-01-09,DL,ATL,EYW,831,-5.0,1027,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,10.88495575221239,13.207272336365714,0.30935368,85,17,0.30935368
1,2023-01-09,DL,ATL,EYW,1037,-3.0,1233,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,10.88495575221239,13.207272336365714,0.34903145,86,0,0.34903145
1,2023-01-09,DL,ATL,FLL,630,-3.0,819,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,878,18.82450832072617,13.207272336365714,0.26179415,87,14,0.26179415
1,2023-01-09,DL,ATL,FLL,740,-4.0,931,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,18.82450832072617,13.207272336365714,0.27398124,88,14,0.27398124
1,2023-01-09,DL,ATL,FLL,840,-3.0,1034,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,18.82450832072617,13.207272336365714,0.3372903,89,29,0.3372903
1,2023-01-09,DL,ATL,FLL,1010,-1.0,1208,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,18.82450832072617,13.207272336365714,0.40615112,90,38,0.40615112
1,2023-01-09,DL,ATL,GEG,910,-3.0,1116,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,9.866666666666667,13.207272336365714,0.31771603,91,21,0.31771603
1,2023-01-09,DL,ATL,GNV,735,-2.0,848,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,16.735714285714284,13.207272336365714,0.29089338,92,18,0.29089338
1,2023-01-09,DL,ATL,GNV,1157,14.0,1306,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,16.735714285714284,13.207272336365714,0.42727056,93,1,0.42727056
1,2023-01-09,DL,ATL,GPT,855,14.0,916,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,16.81111111111111,13.207272336365714,0.3561931,94,22,0.3561931
1,2023-01-09,DL,ATL,GRR,1140,-2.0,1336,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,12.87962962962963,13.207272336365714,0.41619956,95,16,0.41619956
1,2023-01-09,DL,ATL,GSO,803,-5.0,915,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,7.3076923076923075,13.207272336365714,0.28147593,96,26,0.28147593
1,2023-01-09,DL,ATL,GSO,1000,-5.0,1117,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,7.3076923076923075,13.207272336365714,0.31369066,97,60,0.31369066
1,2023-01-09,DL,ATL,GSP,825,-2.0,914,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,8.495901639344263,13.207272336365714,0.29238856,98,8,0.29238856
1,2023-01-09,DL,ATL,GSP,1000,29.0,1057,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1,0,10,0,0,878,8.495901639344263,13.207272336365714,0.3351865,99,45,0.3351865
1,2023-01-09,DL,ATL,HDN,1015,-12.0,1202,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,4.642857142857143,13.207272336365714,0.28768614,100,69,0.28768614
1,2023-01-09,DL,ATL,HNL,940,19.0,1424,38.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,1,0,9,1,0,878,47.96774193548387,13.207272336365714,0.6637417,101,1,0.6637417
1,2023-01-09,DL,ATL,HOU,849,-4.0,1012,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,13.891509433962264,13.207272336365714,0.3392404,102,18,0.3392404
1,2023-01-09,DL,ATL,HPN,1157,-2.0,1411,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,9.878571428571428,13.207272336365714,0.36855167,103,8,0.36855167
1,2023-01-09,DL,ATL,HSV,830,-5.0,829,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,4.289308176100629,13.207272336365714,0.120855235,104,75,0.120855235
1,2023-01-09,DL,ATL,IAD,715,19.0,900,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7,1,0,878,11.416666666666666,13.207272336365714,0.23523995,105,41,0.23523995
1,2023-01-09,DL,ATL,IAD,1000,-2.0,1147,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,11.416666666666666,13.207272336365714,0.37586096,106,40,0.37586096
1,2023-01-09,DL,ATL,IAH,720,39.0,843,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7,1,0,878,19.026315789473685,13.207272336365714,0.29343712,107,23,0.29343712
1,2023-01-09,DL,ATL,IAH,1020,-2.0,1146,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,19.026315789473685,13.207272336365714,0.43190262,108,10,0.43190262
1,2023-01-09,DL,ATL,ICT,955,0.0,1119,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,6.67816091954023,13.207272336365714,0.27297553,109,62,0.27297553
1,2023-01-09,DL,ATL,IND,715,0.0,842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,18.31020408163265,13.207272336365714,0.29422894,110,13,0.29422894
1,2023-01-09,DL,ATL,IND,1001,-4.0,1133,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,18.31020408163265,13.207272336365714,0.43283918,111,22,0.43283918
1,2023-01-09,DL,ATL,JAC,1030,0.0,1238,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,7.869565217391305,13.207272336365714,0.32500908,112,44,0.32500908
1,2023-01-09,DL,ATL,JAN,828,-3.0,850,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,7.191666666666666,13.207272336365714,0.28978598,113,42,0.28978598
1,2023-01-09,DL,ATL,JAX,720,0.0,833,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,15.008219178082191,13.207272336365714,0.29936564,114,9,0.29936564
1,2023-01-09,DL,ATL,JAX,910,-7.0,1018,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,15.008219178082191,13.207272336365714,0.39509827,115,10,0.39509827
1,2023-01-09,DL,ATL,JAX,1100,-3.0,1213,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,15.008219178082191,13.207272336365714,0.43944773,116,36,0.43944773
1,2023-01-09,DL,ATL,JFK,825,18.0,1036,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8,1,0,878,21.55263157894737,13.207272336365714,0.40675753,117,3,0.40675753
1,2023-01-09,DL,ATL,JFK,1000,-2.0,1216,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,21.55263157894737,13.207272336365714,0.47428098,118,18,0.47428098
1,2023-01-09,DL,ATL,LAS,840,-3.0,1015,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,23.14532019704433,13.207272336365714,0.4303743,119,12,0.4303743
1,2023-01-09,DL,ATL,LAS,1009,17.0,1146,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10,0,0,878,23.14532019704433,13.207272336365714,0.4841546,120,13,0.4841546
